               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.064282,            0.028147,            0.043518,           0.0034074,             0.86928,            0.066592,            0.020215,            0.031769,            0.013576,            0.024343,            0.070088,           0.0033236,           0.0033236
                   1,            0.048934,            0.024751,            0.035561,             0.33375,             0.44241,             0.29316,             0.13132,            0.021805,            0.010698,            0.016882,            0.040044,            0.006613,            0.006613
                   2,            0.039579,            0.020142,            0.031106,             0.26917,             0.50797,             0.29765,               0.141,            0.024441,           0.0087859,             0.01705,           0.0099561,           0.0098584,           0.0098584
                   3,            0.037587,            0.018701,            0.026934,             0.56053,              0.6635,             0.59927,             0.36818,            0.018147,           0.0076002,            0.010032,            0.009802,            0.009802,            0.009802
                   4,             0.03403,            0.017432,            0.021614,              0.6796,              0.7607,             0.73652,             0.49397,             0.01538,           0.0068387,           0.0076893,            0.009802,            0.009802,            0.009802
                   5,             0.03218,             0.01667,            0.019193,             0.69332,             0.74612,             0.75695,             0.49591,            0.015283,           0.0070249,           0.0067067,            0.009736,            0.009736,            0.009736
                   6,            0.030995,            0.016059,            0.018536,              0.7622,             0.75413,              0.8175,             0.58593,            0.014058,           0.0062936,           0.0063863,             0.00967,             0.00967,             0.00967
                   7,            0.031499,            0.015862,            0.017165,             0.76273,             0.76829,             0.82224,             0.60116,            0.013871,           0.0062979,           0.0056279,            0.009604,            0.009604,            0.009604
                   8,            0.030433,             0.01567,            0.017145,              0.7966,             0.76243,             0.84705,             0.61672,             0.01365,            0.006181,           0.0054278,            0.009538,            0.009538,            0.009538
                   9,            0.029503,            0.015027,            0.015122,             0.79026,             0.80196,             0.85309,             0.62872,            0.013056,           0.0060671,            0.004847,            0.009472,            0.009472,            0.009472
                  10,             0.02929,            0.015102,            0.013892,             0.80499,              0.8294,             0.88549,             0.66738,            0.012347,           0.0058125,            0.003729,            0.009406,            0.009406,            0.009406
                  11,            0.027347,            0.014612,            0.013579,             0.82961,              0.8322,             0.88935,             0.66916,            0.012405,           0.0057091,            0.003435,             0.00934,             0.00934,             0.00934
                  12,            0.026433,            0.014496,             0.01284,             0.82528,             0.82148,             0.86627,             0.65138,            0.012962,           0.0062318,           0.0035332,            0.009274,            0.009274,            0.009274
                  13,            0.027605,            0.014424,            0.013167,              0.8319,               0.826,             0.87578,             0.66752,            0.012437,             0.00568,           0.0034761,            0.009208,            0.009208,            0.009208
                  14,             0.02662,            0.014308,            0.011845,             0.84629,             0.86101,             0.90482,             0.69236,            0.011673,           0.0055793,           0.0027459,            0.009142,            0.009142,            0.009142
                  15,            0.026102,              0.0141,            0.012984,             0.84997,             0.85616,             0.91594,              0.7101,            0.011442,           0.0054275,           0.0032809,            0.009076,            0.009076,            0.009076
                  16,            0.026409,            0.014152,             0.01205,             0.86202,             0.83043,             0.90396,             0.71693,            0.011243,            0.005248,           0.0038264,             0.00901,             0.00901,             0.00901
                  17,            0.024519,            0.013873,            0.011339,             0.86998,             0.87715,             0.92648,              0.7227,            0.011488,           0.0052456,           0.0023353,            0.008944,            0.008944,            0.008944
                  18,            0.025019,            0.013797,            0.012243,             0.88568,             0.87206,             0.92631,              0.7256,            0.010878,           0.0052989,           0.0024464,            0.008878,            0.008878,            0.008878
                  19,            0.024921,            0.013814,            0.010412,              0.8761,             0.86578,             0.91486,              0.7321,            0.010966,           0.0054101,           0.0027755,            0.008812,            0.008812,            0.008812
                  20,            0.024392,            0.013528,            0.011622,             0.90035,             0.87592,             0.93282,              0.7494,            0.011046,           0.0051518,            0.002344,            0.008746,            0.008746,            0.008746
                  21,             0.02462,            0.013624,            0.011202,             0.88028,             0.87661,             0.92507,             0.73341,            0.010905,           0.0051023,           0.0025442,             0.00868,             0.00868,             0.00868
                  22,            0.025862,            0.013492,            0.010923,             0.88061,             0.88815,             0.94098,             0.75318,            0.010415,           0.0051768,           0.0020982,            0.008614,            0.008614,            0.008614
                  23,             0.02394,            0.013449,            0.010224,             0.88841,             0.89984,             0.95005,             0.76678,            0.010549,           0.0049705,           0.0018299,            0.008548,            0.008548,            0.008548
                  24,            0.025061,            0.013515,            0.010429,             0.87915,             0.87944,             0.94001,             0.75482,            0.010374,            0.005022,           0.0021795,            0.008482,            0.008482,            0.008482
                  25,            0.023577,            0.013226,            0.010266,             0.88289,             0.87924,             0.94155,             0.75533,            0.010258,           0.0049863,           0.0021363,            0.008416,            0.008416,            0.008416
                  26,            0.023708,            0.013236,            0.010228,             0.84544,             0.87425,             0.93645,             0.75429,            0.010498,           0.0050507,           0.0028714,             0.00835,             0.00835,             0.00835
                  27,             0.02401,            0.013355,           0.0096586,             0.90034,             0.90799,             0.95279,             0.77502,           0.0099674,           0.0049087,           0.0015296,            0.008284,            0.008284,            0.008284
                  28,            0.022971,            0.013155,           0.0092116,             0.89861,             0.91406,             0.95619,             0.78257,           0.0097821,           0.0048114,           0.0016802,            0.008218,            0.008218,            0.008218
                  29,            0.022711,            0.012912,           0.0088748,             0.90967,             0.90871,             0.95847,             0.79105,           0.0095517,           0.0047397,           0.0015577,            0.008152,            0.008152,            0.008152
                  30,            0.022332,            0.012692,           0.0080485,              0.9144,             0.93046,             0.96636,             0.79695,           0.0094875,           0.0047055,            0.001288,            0.008086,            0.008086,            0.008086
                  31,            0.023092,            0.012918,           0.0090714,             0.91781,             0.90701,             0.96024,             0.78381,           0.0093951,           0.0048207,            0.001416,             0.00802,             0.00802,             0.00802
                  32,            0.022517,            0.012717,            0.008934,             0.91694,             0.92416,             0.96114,             0.79862,           0.0093317,           0.0046297,            0.001308,            0.007954,            0.007954,            0.007954
                  33,            0.022516,            0.012772,           0.0091293,              0.9103,             0.93027,             0.96155,             0.79575,           0.0092676,             0.00471,           0.0012594,            0.007888,            0.007888,            0.007888
                  34,            0.021545,            0.012668,           0.0089761,             0.92072,             0.93054,             0.96829,              0.8008,           0.0091125,           0.0046043,           0.0011861,            0.007822,            0.007822,            0.007822
                  35,            0.023365,            0.012683,           0.0084859,             0.92617,             0.92605,             0.96991,             0.80924,           0.0089602,           0.0045176,           0.0010748,            0.007756,            0.007756,            0.007756
                  36,            0.022966,            0.012796,           0.0086099,             0.92948,             0.92759,             0.96807,             0.81046,           0.0090911,           0.0045365,           0.0010843,             0.00769,             0.00769,             0.00769
                  37,            0.022094,            0.012539,           0.0080035,             0.91775,             0.93339,             0.96971,             0.81426,           0.0090749,           0.0044726,           0.0010331,            0.007624,            0.007624,            0.007624
                  38,            0.021725,            0.012563,           0.0079609,             0.93431,             0.93648,             0.97344,             0.81545,           0.0090672,           0.0044725,          0.00089251,            0.007558,            0.007558,            0.007558
                  39,            0.022533,            0.012323,           0.0078747,             0.93716,             0.93411,             0.97216,             0.82268,           0.0089022,           0.0043685,          0.00085169,            0.007492,            0.007492,            0.007492
                  40,            0.021895,             0.01242,           0.0081062,             0.93048,             0.93763,              0.9754,             0.82501,           0.0087204,           0.0043395,          0.00076409,            0.007426,            0.007426,            0.007426
                  41,              0.0222,            0.012459,           0.0075386,             0.92962,             0.94034,              0.9754,             0.81714,           0.0085774,           0.0044365,           0.0008656,             0.00736,             0.00736,             0.00736
                  42,            0.023221,            0.012443,           0.0082191,              0.9263,             0.93721,             0.96969,             0.82203,           0.0085318,           0.0043881,          0.00099906,            0.007294,            0.007294,            0.007294
                  43,            0.021902,            0.012406,           0.0076419,             0.93355,              0.9418,             0.97463,             0.83109,           0.0083982,           0.0043346,          0.00084953,            0.007228,            0.007228,            0.007228
                  44,            0.021539,            0.012273,           0.0081497,             0.93977,             0.93658,             0.97428,              0.8267,           0.0084668,           0.0043232,          0.00081205,            0.007162,            0.007162,            0.007162
                  45,            0.021338,            0.012287,           0.0078734,             0.93188,             0.94326,             0.97405,             0.82604,           0.0085618,           0.0043313,          0.00081176,            0.007096,            0.007096,            0.007096
                  46,            0.021448,            0.012096,           0.0078359,             0.93887,             0.93865,             0.97496,             0.83043,           0.0084662,           0.0042905,          0.00088779,             0.00703,             0.00703,             0.00703
                  47,            0.021044,            0.012226,           0.0071303,             0.94386,             0.94329,             0.97645,             0.83074,            0.008465,           0.0042982,          0.00071295,            0.006964,            0.006964,            0.006964
                  48,            0.021347,             0.01225,           0.0081808,             0.94839,             0.93907,             0.97612,              0.8288,           0.0084092,           0.0042729,           0.0007217,            0.006898,            0.006898,            0.006898
                  49,            0.020651,            0.012341,           0.0076073,             0.94244,             0.94612,             0.97688,              0.8401,           0.0083031,            0.004234,          0.00062706,            0.006832,            0.006832,            0.006832
                  50,            0.020108,            0.012148,           0.0070824,             0.94841,             0.94508,             0.97779,             0.83873,           0.0082136,           0.0042381,          0.00062329,            0.006766,            0.006766,            0.006766
                  51,            0.021541,             0.01224,            0.006939,             0.94058,             0.94787,             0.97711,              0.8403,           0.0082585,            0.004206,          0.00068955,              0.0067,              0.0067,              0.0067
