EPOCH=001,Accuracy= 19.644%
EPOCH=002,Accuracy= 23.907%
EPOCH=003,Accuracy= 38.362%
EPOCH=004,Accuracy= 51.668%
EPOCH=005,Accuracy= 60.452%
EPOCH=006,Accuracy= 72.535%
EPOCH=007,Accuracy= 77.835%
EPOCH=008,Accuracy= 75.612%
EPOCH=009,Accuracy= 84.173%
EPOCH=010,Accuracy= 87.917%
EPOCH=011,Accuracy= 90.660%
EPOCH=012,Accuracy= 81.245%
EPOCH=013,Accuracy= 88.732%
EPOCH=014,Accuracy= 91.067%
EPOCH=015,Accuracy= 89.362%
EPOCH=016,Accuracy= 59.600%
EPOCH=017,Accuracy= 93.180%
EPOCH=018,Accuracy= 90.956%
EPOCH=019,Accuracy= 93.440%
EPOCH=020,Accuracy= 94.107%
