               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021351,            0.015684,           0.0042441,             0.95862,              0.8992,             0.95036,             0.80375,           0.0093724,           0.0048587,          0.00028178,            0.070039,           0.0033291,           0.0033291
                   1,            0.018997,            0.012456,           0.0046832,             0.93087,             0.90901,             0.95606,             0.80776,           0.0096447,           0.0045395,          0.00050671,            0.039956,           0.0065799,           0.0065799
                   2,            0.019408,            0.012482,           0.0053664,             0.91298,             0.88074,             0.94233,              0.7877,           0.0090274,           0.0045152,           0.0022747,           0.0097911,           0.0097483,           0.0097483
                   3,            0.020592,            0.012902,           0.0075174,              0.9147,             0.90034,             0.95518,              0.7949,           0.0090386,            0.004631,          0.00097949,           0.0096288,           0.0096288,           0.0096288
                   4,            0.019972,             0.01259,           0.0069229,             0.92458,             0.90602,             0.95595,             0.80168,           0.0087334,           0.0044582,           0.0011167,           0.0096288,           0.0096288,           0.0096288
                   5,            0.019449,            0.012281,           0.0057664,             0.92886,               0.929,             0.96872,             0.81979,           0.0081578,           0.0042387,          0.00084663,            0.009505,            0.009505,            0.009505
                   6,            0.019214,             0.01211,           0.0062205,             0.91133,             0.92189,             0.96285,             0.82534,           0.0076762,           0.0042609,          0.00079453,           0.0093813,           0.0093813,           0.0093813
                   7,            0.018928,            0.012146,           0.0063094,             0.92701,             0.93301,             0.97549,             0.83423,            0.007648,           0.0041467,          0.00065018,           0.0092575,           0.0092575,           0.0092575
                   8,             0.01875,             0.01189,             0.00565,             0.93858,             0.93934,             0.97634,             0.84064,           0.0074265,           0.0040931,          0.00044397,           0.0091337,           0.0091337,           0.0091337
                   9,            0.018223,            0.011623,           0.0055509,             0.93793,             0.91988,             0.97146,             0.83522,           0.0077257,            0.004163,          0.00088415,             0.00901,             0.00901,             0.00901
                  10,             0.01864,            0.011837,           0.0055311,             0.94363,             0.93892,             0.97605,             0.84221,           0.0069905,           0.0039921,          0.00080237,           0.0088863,           0.0088863,           0.0088863
                  11,            0.018128,            0.011518,           0.0053469,             0.93909,             0.94874,             0.97614,             0.83364,           0.0073847,           0.0040465,          0.00060544,           0.0087625,           0.0087625,           0.0087625
                  12,            0.016983,             0.01143,           0.0052167,             0.93438,             0.93158,             0.96775,             0.83696,            0.007087,           0.0039848,          0.00061193,           0.0086388,           0.0086388,           0.0086388
                  13,            0.017462,             0.01143,           0.0053762,             0.93304,             0.94765,             0.97639,             0.85396,           0.0068161,           0.0039052,          0.00069043,            0.008515,            0.008515,            0.008515
                  14,            0.017134,             0.01141,           0.0051968,             0.95216,             0.93569,             0.97918,             0.84639,           0.0069558,           0.0038751,          0.00040976,           0.0083913,           0.0083913,           0.0083913
                  15,            0.017222,            0.011189,           0.0053206,             0.93687,             0.94672,             0.97334,             0.85232,           0.0066814,           0.0038836,          0.00039174,           0.0082675,           0.0082675,           0.0082675
                  16,            0.017532,            0.011292,           0.0048292,             0.95622,             0.94737,             0.98055,             0.85642,           0.0067298,           0.0037974,          0.00048419,           0.0081437,           0.0081437,           0.0081437
                  17,            0.016707,            0.011243,           0.0052533,             0.95061,             0.94294,             0.97438,             0.85868,           0.0064034,           0.0038327,          0.00054262,             0.00802,             0.00802,             0.00802
                  18,            0.016893,            0.011064,           0.0048806,             0.95994,             0.94666,             0.98045,             0.86355,           0.0064994,           0.0037393,          0.00036176,           0.0078963,           0.0078963,           0.0078963
                  19,            0.017026,            0.011134,           0.0048143,             0.93928,              0.9573,             0.98308,               0.872,           0.0064968,           0.0036639,          0.00050312,           0.0077725,           0.0077725,           0.0077725
