               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056409,             0.02278,            0.039299,            0.014931,            0.064892,            0.012503,           0.0028576,            0.030587,           0.0096964,            0.025568,            0.070034,           0.0033295,           0.0033295
                   1,            0.045084,            0.021037,            0.032626,             0.44045,             0.46786,             0.40878,             0.19184,            0.026579,           0.0064507,            0.018059,             0.03999,           0.0066189,           0.0066189
                   2,            0.036983,            0.018332,            0.024222,              0.6343,             0.63412,             0.61139,             0.32085,            0.024761,           0.0055397,            0.012856,           0.0099023,           0.0098642,           0.0098642
                   3,            0.034962,            0.016898,            0.020749,             0.68915,             0.71433,             0.68962,             0.38788,            0.024633,           0.0056982,           0.0089843,            0.009802,            0.009802,            0.009802
                   4,            0.033091,            0.016342,            0.018021,              0.7661,             0.76486,             0.75567,             0.43748,            0.022554,           0.0053732,           0.0092472,            0.009802,            0.009802,            0.009802
                   5,             0.03109,            0.015835,            0.017267,             0.79885,             0.79385,             0.78615,             0.46898,            0.022532,            0.004618,           0.0062425,            0.009736,            0.009736,            0.009736
                   6,            0.031327,            0.015651,            0.015439,             0.80746,             0.81168,             0.82222,             0.52334,            0.021404,           0.0049104,           0.0052438,             0.00967,             0.00967,             0.00967
                   7,            0.030352,             0.01533,            0.013397,             0.81381,             0.83255,             0.81763,             0.54094,             0.02115,           0.0045522,           0.0043215,            0.009604,            0.009604,            0.009604
                   8,             0.02936,            0.015151,            0.013301,             0.82654,             0.83659,             0.82379,             0.55539,            0.021064,           0.0044978,           0.0038724,            0.009538,            0.009538,            0.009538
                   9,            0.029121,             0.01506,            0.012583,             0.83903,             0.85768,             0.85853,             0.58191,            0.020674,           0.0043036,           0.0034229,            0.009472,            0.009472,            0.009472
                  10,             0.02877,            0.014867,             0.01196,             0.83692,             0.83549,              0.8335,             0.58266,            0.020077,           0.0043982,           0.0040999,            0.009406,            0.009406,            0.009406
                  11,            0.028849,            0.014731,            0.011917,             0.86686,             0.87678,             0.88854,             0.62209,             0.02018,           0.0044058,            0.002261,             0.00934,             0.00934,             0.00934
                  12,            0.026909,            0.014438,            0.011171,             0.85967,             0.88474,             0.88461,             0.63351,            0.020048,           0.0040745,           0.0026012,            0.009274,            0.009274,            0.009274
