               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.036642,            0.032522,            0.025754,             0.79709,               0.807,             0.82389,             0.44985,            0.023238,           0.0070756,           0.0010349,            0.070205,           0.0033105,           0.0033105
                   1,            0.026597,            0.019783,           0.0060455,             0.69847,             0.75805,             0.74895,             0.37177,            0.025197,           0.0082937,           0.0027072,             0.04014,           0.0065781,           0.0065781
                   2,            0.028016,             0.01813,           0.0056832,             0.64387,             0.70952,             0.69544,             0.33492,            0.026026,           0.0085012,           0.0058691,            0.010008,           0.0097796,           0.0097796
                   3,            0.028804,            0.018964,           0.0059086,             0.66929,             0.70074,             0.70872,             0.34249,            0.026297,           0.0094218,            0.006011,            0.009703,            0.009703,            0.009703
                   4,             0.02717,            0.017708,           0.0056466,             0.61729,             0.70927,             0.65594,             0.29933,            0.027356,           0.0089936,           0.0073367,            0.009703,            0.009703,            0.009703
                   5,            0.025959,            0.017471,            0.005215,             0.58018,             0.65418,             0.63509,             0.29171,            0.027111,           0.0090256,           0.0097852,            0.009604,            0.009604,            0.009604
                   6,            0.025417,            0.017197,           0.0044033,             0.57288,              0.6439,             0.63803,             0.28996,            0.027863,           0.0090117,            0.010654,            0.009505,            0.009505,            0.009505
                   7,            0.024369,             0.01657,           0.0044649,             0.58408,             0.66627,             0.62135,             0.26705,            0.028312,           0.0092373,           0.0091158,            0.009406,            0.009406,            0.009406
                   8,            0.025141,            0.016487,           0.0044712,             0.56886,              0.6488,             0.64504,             0.30188,            0.027817,           0.0096106,            0.010447,            0.009307,            0.009307,            0.009307
                   9,            0.023706,            0.016059,           0.0034278,             0.56537,             0.61147,             0.60628,             0.27301,            0.029546,           0.0098065,            0.010897,            0.009208,            0.009208,            0.009208
                  10,             0.02315,            0.016189,           0.0040879,             0.58543,             0.64651,             0.60621,             0.27351,            0.027838,           0.0096063,            0.012146,            0.009109,            0.009109,            0.009109
                  11,            0.022877,            0.016283,            0.003335,             0.58927,              0.6852,             0.66479,              0.3111,            0.028806,           0.0095191,           0.0089842,             0.00901,             0.00901,             0.00901
                  12,            0.022353,            0.015979,           0.0027718,             0.60876,             0.66302,             0.66767,             0.30728,            0.028312,            0.009015,            0.008077,            0.008911,            0.008911,            0.008911
                  13,            0.022119,            0.015613,           0.0048223,             0.58484,             0.63635,               0.607,             0.27491,            0.028288,            0.010038,           0.0093861,            0.008812,            0.008812,            0.008812
                  14,            0.022281,            0.015717,           0.0035729,             0.61085,             0.65409,             0.64629,             0.29573,            0.028688,           0.0098011,           0.0095622,            0.008713,            0.008713,            0.008713
                  15,            0.022113,            0.015692,           0.0034077,             0.59259,             0.66046,             0.65997,             0.31505,            0.028698,            0.008612,            0.010167,            0.008614,            0.008614,            0.008614
                  16,            0.022119,            0.015904,           0.0030562,             0.59695,             0.66603,             0.65229,              0.3036,            0.028492,           0.0093125,           0.0080353,            0.008515,            0.008515,            0.008515
